Date,Set,Order,Age,Complete,SUhour,SUmin,SUsec,SUtimehr,SUagehr,Clutch,Tray,ESU,ProblemE,AudacityAmp,Amp,EP5,HSUnotes,PBKhour,PBKmin,PBKsec,PBKtimehr,PBKtimemin,PBKage,FirstHhour,FirstHmin,FirstHsec,FirstHtimehr,FirstHtimemin,LtoH,EPPBK,EP3m,PropH,NumHat,DorsalIMG1,DorsalIMG2,DorsalIMG3
20160803,23,83,5,Y,16,27,20,16.45555556,136.4555556,C536,1,9,NA,0.05,,9,NA,16,32,30,16.54166667,992.5,136.5416667,NA,NA,NA,NA,NA,NA,9,9,0,0,6356,6357,6359
20160803,23,84,5,Y,16,57,38,16.96055556,136.9605556,C528,4,14,NA,0.25,,13,NA,17,3,38,17.06055556,1023.633333,137.0605556,17,4,34,17.07611111,1024.566667,0.933333333,9,8,0.384615385,5,6360,6365,6366
20160803,23,85,5,Y,17,16,30,17.275,137.275,C532,1,15,NA,0.12,,15,NA,17,22,14,17.37055556,1042.233333,137.3705556,17,25,31,17.42527778,1045.516667,3.283333333,12,11,0.266666667,4,6368,6369,6370
20160803,23,86,5,Y,17,39,15,17.65416667,137.6541667,C533,1,14,NA,0.01,,14,NA,17,46,5,17.76805556,1066.083333,137.7680556,NA,NA,NA,NA,NA,NA,14,14,0,0,6371,6372,6373
20160803,24,87,5,N,18,1,19,18.02194444,138.0219444,C537,1,15,NA,0.25,,12,NA,18,7,47,18.12972222,1087.783333,138.1297222,18,10,30,18.175,1090.5,2.716666667,11,11,0.083333333,1,6375,6376,6377
20160804,25,88,5,Y,15,7,50,15.13055556,135.1305556,C543,1,14,NA,0.05,,11,NA,15,13,11,15.21972222,913.1833333,135.2197222,15,15,1,15.25027778,915.0166667,1.833333333,7,7,0.363636364,4,6439,6441,6442
20160804,25,89,5,Y,15,23,30,15.39166667,135.3916667,C541,1,14,NA,0.25,,13,NA,15,29,20,15.48888889,929.3333333,135.4888889,15,30,10,15.50277778,930.1666667,0.833333333,6,6,0.538461538,7,6444,6445,6446
20160804,25,90,5,Y,15,41,7,15.68527778,135.6852778,C544,1,14,NA,0.01,,13,NA,15,47,12,15.78666667,947.2,135.7866667,NA,NA,NA,NA,NA,NA,13,13,0,0,6447,6448,6449
20160804,25,91,5,Y,15,58,32,15.97555556,135.9755556,C543,2,12,NA,0.12,,7,NA,16,3,52,16.06444444,963.8666667,136.0644444,16,4,38,16.07722222,964.6333333,0.766666667,2,2,0.714285714,5,6451,6452,6453
20160804,26,92,5,Y,17,1,46,17.02944444,137.0294444,C547,2,10,NA,0.25,,10,NA,17,7,0,17.11666667,1027,137.1166667,17,12,40,17.21111111,1032.666667,5.666666667,9,9,0.1,1,6455,6458,6459
20160804,26,93,5,Y,17,20,0,17.33333333,137.3333333,C548,1,15,NA,0.01,,15,NA,17,28,5,17.46805556,1048.083333,137.4680556,NA,NA,NA,NA,NA,NA,15,15,0,0,6460,6462,6463
20160804,26,94,5,Y,17,40,0,17.66666667,137.6666667,C550,2,12,NA,0.12,,12,NA,17,45,44,17.76222222,1065.733333,137.7622222,17,50,15,17.8375,1070.25,4.516666667,10,10,0.166666667,2,6464,6465,6466
20160804,26,95,5,Y,17,57,0,17.95,137.95,C546,3,15,NA,0.05,,14,NA,18,2,20,18.03888889,1082.333333,138.0388889,18,6,45,18.1125,1086.75,4.416666667,13,13,0.071428571,1,6467,6468,6469
20160804,27,96,5,Y,18,15,10,18.25277778,138.2527778,C545,3,13,NA,0.01,,11,NA,18,20,24,18.34,1100.4,138.34,NA,NA,NA,NA,NA,NA,11,11,0,0,6470,6471-2,6473
20160804,27,97,5,Y,18,33,2,18.55055556,138.5505556,C545,2,14,NA,0.12,,13,NA,18,38,18,18.63833333,1118.3,138.6383333,18,40,20,18.67222222,1120.333333,2.033333333,11,11,0.153846154,2,6474,6475-6,6477
20160804,27,98,5,Y,18,49,40,18.82777778,138.8277778,C545,1,15,NA,0.25,,14,NA,18,55,38,18.92722222,1135.633333,138.9272222,NA,NA,NA,NA,NA,NA,14,14,0,0,6478,6479-81,6483
20160804,27,99,5,Y,19,6,51,19.11416667,139.1141667,C542,1,13,NA,0.05,,13,NA,19,13,53,19.23138889,1153.883333,139.2313889,19,13,53,19.23138889,1153.883333,0,13,13,0,0,6485,6487,6488-9
20160805,28,100,5,Y,15,2,42,15.045,135.045,C559,2,10,NA,0.05,,6,NA,15,8,26,15.14055556,908.4333333,135.1405556,NA,NA,NA,NA,NA,NA,6,6,0,0,6555,6557,6558
20160805,28,101,5,Y,15,18,37,15.31027778,135.3102778,C559,1,12,NA,0.12,,7,NA,15,24,19,15.40527778,924.3166667,135.4052778,15,24,35,15.40972222,924.5833333,0.266666667,0,0,1,7,6560,6561,6562
20160805,28,102,5,Y,15,32,53,15.54805556,135.5480556,C555,1,14,NA,0.25,,13,NA,15,38,1,15.63361111,938.0166667,135.6336111,15,38,27,15.64083333,938.45,0.433333333,2,2,0.846153846,11,6563,6564,6565
20160805,28,103,5,Y,15,47,45,15.79583333,135.7958333,C560,2,12,NA,0.01,,12,NA,15,54,20,15.90555556,954.3333333,135.9055556,NA,NA,NA,NA,NA,NA,12,12,0,0,6566,6567,6568
20160805,29,104,5,Y,16,5,50,16.09722222,136.0972222,C558,1,12,NA,0.25,,12,NA,16,10,52,16.18111111,970.8666667,136.1811111,NA,NA,NA,NA,NA,NA,12,12,0,0,6569,6570,6571
20160805,29,105,5,Y,16,23,50,16.39722222,136.3972222,C557,1,13,NA,0.12,,11,NA,16,29,22,16.48944444,989.3666667,136.4894444,16,30,6,16.50166667,990.1,0.733333333,5,5,0.545454545,6,6574,6575,6577
20160805,29,106,5,Y,16,40,25,16.67361111,136.6736111,C554,2,9,NA,0.05,,9,NA,16,45,44,16.76222222,1005.733333,136.7622222,16,47,20,16.78888889,1007.333333,1.6,8,8,0.111111111,1,6578,6579,6580
20160805,29,107,5,Y,16,58,9,16.96916667,136.9691667,C560,1,9,NA,0.01,,9,NA,17,4,19,17.07194444,1024.316667,137.0719444,NA,NA,NA,NA,NA,NA,9,9,0,0,6582,6586,6587
20160805,30,108,5,N,17,18,27,17.3075,137.3075,C558,2,7,NA,0.12,,7,NA,17,23,29,17.39138889,1043.483333,137.3913889,NA,NA,NA,NA,NA,NA,7,7,0,0,6589,6592,6593
